review,content_related,author,quality_and_appearance,manufacture_and_distribution,packaging_and_delivery,price_and_preference,customer_service,overall_experience
Cốt_truyện mị hoặc lôi_cuốn Câu_chuyện kể về lần về thăm nhà của nhân_vật chính nhưng điều quan_trọng là những mảnh ghép quá_khứ lớp này rồi lớp khác chòng chất liên_kết lại với nhau tạo nên những nút thắt mở khiến người đọc không_thể dừng việc truy_tìm lời_giải Có nét buồn của Một thoáng ta rực_rỡ ở nhân_gian sự bất_công của Giết con chim nhạy và sự cô_đơn giữa biển người của Bắt trẻ đồng xanh,1,0,0,0,0,0,0,0
Cách dẫn chuyện hay đan_xen lời kể của các nhân_vật kể_cả là người sống hay đã mất Nói vè nhiều vấn_đề trong xã_hội hiện_đại như kỳ_thị đồng_tính lạm_dụng mạng xẽ hội Tuy là người trong cùng một gia_đình nhưng mỗi người lại có câu_chuyện góc nhìn mối bận_tâm khác nhau bất_ngờ nhưng_mà nó lại giải_thích hợp_lý cho mọi chi_tiết trong truyện Màu truyện hơi tăm_tối u_buồn sự u_buồn này ám vào cả cuộc_đời của các nhân_vật và nơi mà họ sống,0,1,0,0,0,0,0,0
Mình chưa đọc nhưng sách được bọc rất cẩn_thận không một vết xước Mình rất ưng dịch_vụ gói hàng của Tuy_nhiên thái_độ của người giao hàng vô_cùng bất lịch_sự làm nhận hàng xong mất cả vui,0,0,0,0,2,0,0,0
Vùng_đất quỷ_tha_ma_bắt là một câu_chuyện mang nặng tính hiện_thực nhưng xuyên suốt chuyện vẫn bảng_lảng không_khí ma_quái kì_dị Câu_chuyện được dẫn_dắt không phải theo trật_tự thời_gian mà theo góc nhìn của mỗi nhân_vật Lần đầu_tiên mình thấy cách dẫn chuyện lạ mà các mốc thời_gian biến_chuyển không theo một trật_tự nào hết lúc xa lúc gần lúc nhanh lúc chậm nhưng vẫn dễ theo_dõi dễ hiểu và đặc_biệt là vẫn duy_trì được sợi dây kết_nối với các nhân_vật Chen có lối kể chuyện rất hay và những từ_ngữ ông sử_dụng trong chuyện đầy tính nghệ_thuật mà nhiều khi mình phải dừng để đọc lại vài lần mới thấm_thía những gì ông muốn truyền_đạt,0,1,0,0,0,0,0,0
Rất rất hay Sách nói về việc chính_phủ ngày_nay dùng truyền_thông để dẫn_dắt suy_nghĩ của dân như_thế_nào Mọi nội_dung tiêu_thụ đều được chọn_lọc Đương_nhiên kiến_thức được dùng để giáo_dục cũng không ngoại_lệ Dù đã được viết rất lâu nhưng câu_chuyện được viết trong đây vẫn khớp với hiện_tại Sách đáng được đọc đi đọc lại nhiều lần và bởi mọi người,1,0,0,0,0,0,0,0
giao hàng nhanh hơn dự_kiến 2 ngày thùng hàng được đóng_gói chắc_chắn cẩn_thận Sách được bọc chống sốc và màng co phẳng_phiu Sách khổ vừa bìa cứng cầm_chắc chắn chất_lượng giấy ổn nhưng khá mỏng có_thể thấy chữ của trang bên kia Bìa sách đẹp màu đỏ chủ_đạo rực_rỡ,0,0,1,0,1,0,0,0
Bằng ngôn_ngữ sắc_sảo giàu triết_lý Ray cho thấy viễn_cảnh một xã_hội hiện_đại nhưng đầy bất_ổn và tuyệt_vọng 451 độ đưa người đọc tới những năm cuối của thế_kỷ 21 Trong xã_hội giả_tưởng đó cuộc_sống bị bủa_vây bởi các thiết_bị hiện_đại,0,1,0,0,0,0,0,0
Thật_sự là cái khâu gói hàng của cửa_hàng rất sơ_sài lúc hàng về mình nhìn mà xót mình đặt 5 quyển thì có vài quyển méo gáy sách nhưng chỉ là một phần nhỏ nên mình cũng không tính_toán làm gì Còn về sách thì ổn_áp cả nội_dung thì hay khỏi bàn cũng không bị méo hay gì Mong cửa_hàng lần sau để_ý hơn đến việc gói hàng ạ cảm ưn,1,0,3,0,2,0,0,0
là bộ truyện đã quá nổi_tiếng có_lẽ không ai là không biết bộ truyện này kể_cả những người chưa đọc cuốn sách này Tôi biết đến lần đầu_tiên là hồi học cấp 2 lúc đó mỗi tuần nhà_xuất_bản Trẻ cho ra 1 tập truyện rất mỏng và chỉ nhỏ bằng cuốn sổ_tay Hồi đó ngày nào tôi và các bạn cũng mong_ngóng để được đọc tập mới Tôi lớn lên và trưởng_thành cùng cậu bé phù và từng tập truyện Sau_này không phải chờ_đợi từng tập truyện nhỏ của từng phần nữa mà đã được đọc 1 lúc cả tập truyện luôn,0,0,0,1,0,0,0,0
Nhìn đẹp nha,0,0,1,0,0,0,0,0
Sách mới rất là ưng mình thích quyển này lâu rồi giao nhanh_chóng đóng_gói kĩ tốt hơn ở khâu gói kĩ hàng giảm_giá trên tốt hơn gốc,0,0,1,0,1,1,0,0
Sách hơi hở niêm_phong bìa cứng minh_hoạ màu xinh_đẹp nặng lắm luôn đóng_gói chu_đáo bọc chống sốc cẩn_thận giao hàng siêu nhanh đánh_giá 5 sao,0,0,1,0,1,0,0,0
Hình_thức sách được in màu toàn_bộ trên giấy_bóng có nhiều tranh minh_hoạ màu rất đẹp Mua trong hội sách nên được giảm_giá sâu rất tiết_kiệm một món quà vô_giá của thơ Chắc_hẳn trên thế_giới này không một cậu bé hay cô bé nào chưa từng ước_mong mình sống trong một thế_giới thần_tiên thế_giới đầy phép_thuật nơi mà chỉ cần vun đũa phép là có_thể biến ra đủ món đồ_chơi hay những món ăn mình yêu thích tự_do bay_lượn trên bầu_trời bằng cây chổi phép Và đã ra_đời kết_tinh từ những giấc mơ con_trẻ của hàng tỷ người trên thế_giới Tình bạn gắn_kết của các nhân_vật giúp họ có_thể vượt qua những chông_gai cái ác để hướng đến một bình_minh ngời sáng của cuộc_đời Bộ sách này gắn liền với tuổi_thơ của tôi cho đến hiện_tại và có_lẽ đến đời con_cháu tôi vẫn sẽ tiếp_tục si_mê trở_thành tượng_đài bất_tử trong kho báu văn_học của thế_giới,0,0,1,0,0,1,0,0
Mới đặt hôm_qua là trưa hôm sau đã gửi hàng đến rồi Đóng_hộp kĩ sách khá nặng mình canh lúc giảm_giá 50 mua hàng nên được quá là hời Chất_lượng sách tốt sách có màng bọc bìa tranh màu chữ đều rất đẹp Có_thể xem phần 4 là phần hay nhất đối_với mình nhờ tranh_ảnh mình có_thể hình_dung được nhân_vật và tình_huống truyện dễ_dàng hơn Nói_chung là cực_kì ưng bản đặc_biệt này của,0,0,1,0,1,1,0,1
Mình đặt lúc tối_ngày 29 10 thì sáng ngày 30 10 đã giao sách đến_nơi mua sách của thì thường sẽ giao rất nhanh Nhìn bên ngoài sách thiết_kế đẹp bọc ni lông kín Mình mua tặng nên không bóc ra không biết chất_lượng giấy thế_nào Giá_cả thế_này thì rất hợp_lý để mua về đọc rồi,0,0,3,0,1,1,0,0
Bìa đẹp giấy tốt mực in rõ_ràng sắc nét sách được bọc ni lông khi mua nội_dung thì khỏi phải bàn_cãi giao hàng nhanh hoàn_toàn hài_lòng,1,0,1,0,1,0,0,1
giao hàng chất_lượng với_lại chính hãng từ Nhà_xuất_bản Tuổi_trẻ Sách là tái_bản mới của năm 2022 nên mới_tinh Đóng_gói cực_kì kĩ_càng Nội_dung về thì chắc không cần bàn_cãi Tên bìa từ bạc thay vàng nhìn đẹp và được tặng dấu trang,1,0,1,1,1,1,0,0
Nội_dung thì khỏi phải bàn rồi mới chương đầu thấy gia_đình ông quá là,1,0,0,0,0,0,0,0
Cốt_truyện của sách rất hay đọc rất lôi_cuốn được đóng_gói cẩn_thận có tặng kèm dấu trang,1,0,0,0,1,1,0,0
Tập 5 dày vô đối nhưng được minh_hoạ rất đẹp rất hay chất_lượng lắm mọi người ạ đánh_giá để mọi người biết mình mua được với giá 50 sau khi phần_mềm đủ loại mã và vào đúng khung giờ 0 giờ ngày Các bạn cố săn giảm_giá để được giá tốt nha Còn ai mua giá cao cũng đừng buồn vì săn giảm_giá cực lắm mà đợi_chờ rất lâu ấy không có_dễ dàng gì đâu tốt,1,0,1,0,0,1,0,1
Mua ngay lúc giảm_giá giá ưu_đãi rất thích lại còn được tặng thêm cuốn sách nữa không có nhưng Đóng_gói kỹ mới đặt lúc sáng chiều đã giao hàng người giao hàng thân_thiện Mọi thứ rất tuyệt_vời không có gì để trừ điểm,0,0,0,0,1,1,0,1
Đầu_tiên là đơn đặt sách lần này mình sử_dụng dịch_vụ nên cũng giao khá nhanh tuy giao nhanh nhưng tác_nghiệp đóng_gói sách rất tốt cẩn_thận chu_đáo Thêm hôm_nay có khung giờ săn giảm_giá được giảm hơn 35 nên cũng coi là thiên_thời địa_lợi nhân và pha thêm một_chút may_mắn Sẽ ủng_hộ lâu_dài,0,0,0,0,1,1,0,1
Sách nguyên niêm_phong bìa cứng minh_hoạ màu xinh_đẹp nặng lắm luôn đóng_gói chu_đáo bọc chống sốc cẩn_thận giao hàng siêu nhanh đánh_giá 5 sao,0,0,1,0,1,0,0,1
Sách nguyên niêm_phong xinh_đẹp không bị lỗi đóng_gói chu_đáo giao hàng siêu nhanh đánh_giá 5 sao,0,0,1,0,1,0,0,0
Nếu là thì em nghĩ mọi người nên mua quyển này ạ Bên trong có những lý_giải về các nhân_vật cũng như các phác_hoạ ban_đầu của cô gì không trước khi đưa đến với thế_giới giao hàng nhanh xịn chất_lượng tốt,0,0,0,0,1,0,0,1
Sách đẹp xuất_sắc Các hình_ảnh chi_tiết minh_hoạ khá bắt_mắt Chất_lượng giấy tốt Bìa sách óng_ánh trang_trí đẹp Là một thì mình thấy quyển này nên được đưa vào bộ sưu_tập rất hợp_lý luôn Đọc các nhận_xét trước nào là lỗi gáy sách cũng làm mình khá băn_khoăn khi đặt mua sách Nhưng khi mua quyển này xong lại thấy rất hài_lòng về sản_phẩm này Ngoài_ra vừa đặt_hàng hôm trước vậy_mà hôm sau đã có hàng giao đến rồi Hơn_nữa cảm_thấy khá vui vì gặp anh giao hàng thân_thiện không có gắt_gỏng như bạn mình nói Lời nhận_xét đến đây là hết Cảm_ơn,0,0,1,0,1,0,0,1
Sách giao rất nhanh Đặt hôm trước thì hôm sau đã nhận được Sách được in sắc nét và đóng_gói bằng hộp cẩn_thận Cho cửa_hàng 5 sao,0,0,1,0,1,0,0,1
Giao nhanh đóng_gói kỹ sách có niêm_phong bảo_vệ hài_lòng về sách của Nôi dung chưa đọc,3,0,1,0,1,0,0,1
giao hàng nhanh 1 ngày là tới bao sách rất đẹp nhưng_mà chữ màu đỏ nên thấy hơi lạ_lạ,0,0,3,0,1,0,0,0
Sản_phẩm rất tốt sẽ mua nữa khi có nhu_cầu,0,0,1,0,0,0,0,1
Giao nhanh sách đóng_gói đẹp Nên mua tại đây,0,0,0,0,1,0,0,1
Đóng_gói tốt sách dày_dặn,0,0,1,0,1,0,0,0
Hàng đẹp xịn Đóng_gói cẩn_thận Rất tốt,0,0,1,0,1,0,0,1
Hay,1,0,0,0,0,0,0,0
Mê của quá nên phải mua thoi,0,0,0,0,0,0,0,1
Xuất_sắc luôn Yêu lắm Thích lắm Mê lắm,0,0,0,0,0,0,0,1
Thư_viện nửa_đêm cuốn sách này đã làm mình khóc vì mình cảm_thấy tội cho cô gái ấy trong truyện tội vì cô đã mắc_kẹt trong cái vòng luẩn_quẩn và cảm_thấy may_mắn cho cô vì cuối_cùng sau bao khó_khăn vất_vả cô đã tìm lại được bản_ngã cá_nhân và tránh đi nhưng lối mòn của cuộc_sống này Bạn chỉ sống trong cuộc_sống của chính bạn và bạn không cần hiểu mọi thứ quá nhiều Cô giúp mình hiểu hơn về cuộc_đời của mỗi lối ngã mỗi bước_đi về một cuộc_sống mình mong_muốn Một cuốn sách chữa lành và giúp những người đang chật_vật với tinh_thần của chính mình có_thể vươn lên mà sống tiếp,1,0,0,0,0,0,0,0
Giao nhanh đóng_gói kỹ nội_dung truyện xuyên này kia nhưng trong suốt quá_trình đọc trước khi tới giai_đoạn có_thể thoải_mái hơn về tư_tưởng của mình thì trước đó là 1 người siêu tiêu_cực Và khi đến cuối hành_trình cũng thay_đổi rất nhiều 8 5,1,0,0,0,1,0,0,0
cái kết quá hay giải_toả tất_cả cái sự tiêu_cực và màu xám quanh nhân_vật cuộc_sống hạnh_phúc hay không là do cái nhìn của bản_thân chứ không phải do xung_quanh tác_động muốn rớt nước_mắt khi nhân_vật chính tìm ra cái mình cần_giờ thì tìm phim xem thôi nên đọc lắm nè,1,0,0,0,0,0,0,1
Mua sau khi xem trên chứ bình_thường đọc tựa từ tàu thì nghĩ không tín lắm Sách viết dựa trên nền_tảng thông_tin khoa_học khá rộng và thực_tế nên đọc rất sướng Bản_thân nội_dung tốt hơn bản phim chuyển_thể trên nhiều Cảm_giác khi đọc khá giống lúc đọc các đầu_sách của Dan_Thích hay không thì mỗi cá_nhân nhưng lượng kiến_thức gói trong mỗi quyển đều rất lớn vừa xem vừa tra giảm_giá để biết thêm nhiều thứ về một mảng mới,1,0,0,0,0,0,0,1
Đặt hôm trước hôm sau giao luôn lần đầu trải_nghiệm mua sách của quá ưng_ý Sách mới nguyên niêm_phong đóng_gói kỹ,0,0,1,0,1,0,0,1
chưa dọc,0,0,0,0,0,0,0,3
Sách của Nhã_Nam không có màng co nên nhìn khá cũ dù là sách mới Bìa dính bụi vài vết bẩn có chỗ còn hằn cả vết lõm xuống Nội_dung sách thì mình thấy hay cuốn_hút công_nhận khâm_phục trí tưởng_tượng của tác_giả Có khá nhiều kiến_thức vật_lí cao_siêu trong cuốn này mà mình cũng không hiểu lắm nên bỏ_qua Cuối truyện không có nào lớn nhưng vẫn ổn bất_ngờ ở đoạn giải_mã trò_chơi với người ngoài hành_tinh cũng đủ rồi Nhìn_chung sách viết tốt dịch mượt ngoài những chỗ ảo ma ra thì đều cả Đáng đọc nhé mấy bạn Nhưng_mà tức ở chỗ giao hàng muộn dù mình đặt đã thế còn giao vào giờ nghỉ trưa chiều đang ngủ lại phải xuống lấy hàng Mong rút kinh_nghiệm lần sau,3,1,2,2,2,0,0,1
Sách bọc đẹp gọn_gàng giao hàng nhanh sách không lỗi nha Dịch_vụ tốt,0,0,1,0,1,0,1,0
bộ sách khoa_học_viễn_tưởng hay nhất tôi từng xem quyển hai cũng là quyển hay nhất trong tam bộ khúc này của Lưu_Từ_Hân đặc_biệt là nửa cuối Phải đọc ít_nhất 1 lần trong đời,0,0,0,0,0,0,0,1
Giao nhanh có bọc sách nội_dung hấp_dẫn Đọc xong quyển Tam_thể tập 1 mình phải đặt luôn quyển 2 quyển tiếp_theo,1,0,1,0,1,0,0,0
Tuyệt_phẩm tiểu_thuyết Xem hết 3 tập trong đầu vẫn hiện lên hình_ảnh 3 mặt_trời giọt nước hạt trí_tuệ hình_ảnh nội_tâm con_người qua các kỷ_nguyên Quá tuyệt_vời,0,0,0,0,0,0,0,1
Ý_tưởng rất nhiều đọc đến cuối rồi vẫn thấy vũ_trụ nó không_chỉ dừng ở đó đối_với mình lượng kiến_thức rất hay không bị nặng đô cao_trào có có tác_giả viết về không_gian 4 chiều đỉnh đọc rất thư_giãn nhưng_mà hơi ức_chế 2 lần lựa_chọn của như_vậy chính làm tao thấy rất 3 chấm Nhiều người chê nhân_vật 1 màu mà tao thấy cũng ổn Nhìn chúng quyển này rất hay mà 9 5 10,1,1,0,0,0,0,0,1
Cuối_cùng cũng cầm trên tay tập cuối tam_thể Có_thể coi đây là tiểu_thuyết khoa_học_viễn_tưởng khá xuất_sắc Từ phần 1 đã sức cuốn_hút nhất_định có cả khoa_học_tự_nhiên và khoa_học_xã_hội Kết_thúc khiến ta phải suy_nghĩ về nhiều thứ về những thứ ngoài không_gian rộng_lớn Đấy coi như là một thành_công của tác_phẩm,1,0,0,0,0,0,0,0
Quá_trời xuất_sắc luôn Thật_sự là chưa bao_giờ mình mua được một cuốn nào mà có cảm_giác hời vậy luôn Chỉn_chu đến từng chi_tiết một từ viền đến hình_ảnh Đã vậy giá giảm_giá còn hời nữa mình mua hết có thôi rẻ quá_trời mà đẹp nữa Sẽ tích tiền mua tập bản màu nữa,0,0,1,0,0,1,0,1
Sách đẹp tuyệt giáo hàng đúng hẹn Sách được bọc gói hai lớp bảo_vệ rất cẩn_thận,0,0,1,0,1,0,0,0
Giao hàng nhanh đóng_gói kỹ có bọc cho sách thì không cần phải nói mọi người cũng cảm_nhận được sức hút toát ra từ chính những chi_tiết và cốt_truyện đọc bao_nhiêu lần rồi mà vẫn cứ cuốn theo mạch không dứt được Phần 1 luôn là phần mình thích nhất và đọc lại nhiều nhất,1,0,0,0,1,0,0,0
siêu mê lúc mình đặt là chiều_qua mà sáng nay đã cầm trên tay rồi may_mắn được tận 2 chiếc dấu trang,0,0,0,0,1,1,0,1
Giao hàng siêu siêu nhanh đóng_gói đẹp chắc_chắn,0,0,0,0,1,0,0,0
Truyện này thì không cần quảng_cáo nhiều giao nhanh và gói cẩn_thận,0,0,0,0,1,0,0,1
Thật_sự mê ý Mong_ngóng và theo_dõi để săn giảm_giá từ sau đợt 12 12 do quên mất đến hôm_nay mới được sờ vào bạn ý giao hàng siêu nhanh Chỉ hơn sau khi đặt_hàng là đã nhận được rồi hộp dày_dặn cứng_cáp Nói_chung là cực_kỳ ưng Cám_ơn,0,0,1,0,1,0,0,1
Truyện đặt trưa hôm trước trưa hôm sau về luôn Tốc_độ giao hàng siêu chất_lượng Truyện phần bìa có chỗ bị trầy một_chút nhưng vẫn trong tầm chấp_nhận được cả bộ ghép lại trông xinh xỉu,0,0,1,0,1,0,0,0
Tôi xem tất_cả từ thời trẻ rồi nhưng nay mới mua cả bộ cho con trai đọc dần Một phần cũng vì bộ này quá đẹp để sở_hữu và còn giảm_giá rất tốt nhà_sách không bao_giờ giảm_giá Gáy sách của cả bộ ghép thành lâu_đài Loại giấy này mình thích hơn các bản đầu_tiên giấy này dạng giấy_bồi nhẹ nên cầm không nặng_tay Tóm_lại rất đáng mua đóng_gói kỹ chống sốc cũng là loại giấy cắt phồng bảo_vệ môi_trường không dùng xốp Cả bộ được bọc kiếng sạch_sẽ,0,0,1,0,1,1,0,1
Không biết lần thứ bao_nhiêu mua sách trên và luôn_luôn hài_lòng luôn bao_gói kỹ giao hàng nhanh_chóng nhân_viên giao hàng thân_thiện và nhiệt_tình Sản_phẩm đóng_gói kỹ cả bộ sách đều mới từng trang sách sờ mát_rượi Sách do nhà_xuất_bản Trẻ phát_hành Xin cảm_ơn tới nhà_xuất_bản Trẻ hệ_thống bán hàng và nhân_viên giao hàng về bộ sách mình đã nhận được,0,0,1,1,1,0,0,1
Theo quan_điểm của tôi các có_thể đọc để biết bộ đã được lấy cảm_hứng từ đâu xem những bản_thảo của cô hình_vẽ một_vài phần truyện bản_thảo ngắn không có trong bộ Nếu mong_chờ sẽ hé lộ nhiều về lịch_sử pháp_thuật trong thế_giới thì không có nhiều chủ_yếu là về những truyền_thuyết câu_chuyện liên_quan đến pháp_thuật ở trong lịch_sử con_người Những hình_ảnh và tranh trong này cũng rất đẹp,0,0,1,0,0,0,0,0
Nội_dung sách kỉ_niệm 20 năm này của thì hay khỏi bàn nha mình mua hơi muộn so với các khác cửa_hàng đóng_gói cẩn_thận và chu_đáo lắm ý giao hàng cũng nhanh nữa Sẽ ủng_hộ cửa_hàng trong tương_lai,1,0,0,0,1,0,0,1
cửa_hàng giao nhanh đóng_gói kĩ Sách đẹp không bị nhăn cửa_hàng có tặng kèm sổ_tay Rất đáng tiền,0,0,1,0,1,1,0,0
Giao hàng nhanh Bọc sách đẹp nhưng còn hơi rách Sách đẹp,0,0,2,0,1,0,0,0
Truyện thì suất sắc rồi ạ Mình mua thêm thôi Nhưng_mà góc bị hư nên hơi buồn xíu Giao hàng nhanh lắm nhé,0,0,2,0,1,0,0,1
Truyện thì hay phải giới_thiệu mua bộ này sưu_tập là chính,0,0,0,0,0,0,0,1
Nội_dung chắc không cần bình_luận rồi hén giao hàng nhanh đẹp không bị cong góc,1,0,1,0,1,0,0,0
Bìa cứng đóng_gói ổn Giá rẻ hơn mua ngoài nhà_sách,0,0,1,0,1,1,0,0
Màu đẹp giao hàng nhanh đóng_gói cẩn_thận,0,0,1,0,1,0,0,0
Không phải vấn_đề của cửa_hàng nhưng viết ở đây hi_vọng đọc và tối_ưu để có_thể thuận_tiện cho khách_hàng hơn Mua 3 quyển sách mỏng cùng thời_điểm mà phải trả tiền giao hàng đến 3 lần và phải nhận đến 3 lần trong 1 ngày,0,0,0,0,0,0,0,2
Nội_dung phong_phú minh_hoạ sinh_động chất_lượng giấy tốt màu in sắc nét,1,0,1,0,0,0,0,0
Nội_dung sách rất hay Sách gửi về còn mới đóng_gói cẩn_thận không trầy_xước,1,0,1,0,1,0,0,0
Nhìn tổng_quan thì không có gì phải bàn Sách rẻ so với giá gốc Vận_chuyển nhanh nhưng_mà với giá rẻ này nên sẽ không có bao bên ngoài và sách hơi móp tý Mọi người tham_khảo nhé nếu thích mọi người cứ mạnh_dạn đặt không phải sách nào cũng lỗi như mình đâu nè chúc bạn có những cảm_giác thật an bên cuốn sách mình đang đọc,0,0,2,0,1,0,0,1
Ôi giao hàng ngày mưa nhất_là sách thì lo ghê_gớm chẳng may ướt lại mất_công đổi trả Nay gặp đúng mấy ngày miền bắc mưa to các đơn_vị vận_chuyển dù cũng cẩn_thận che_chắn thùng hàng nhưng không_thể tránh hết mưa thấm vào được lúc nhận hàng cái hộp của mình mềm oặt lo quá may ở ra bên trong chưa thấm ướt cuốn được túi bọc không lo cuốn còn lại cảm_giác hơi ẩm thôi để ngoài hoặc sấy nhẹ tí là khô Sách mới mua hôm Nhã_Nam giảm_giá kèm mã giảm nên khá ưng_ý,0,0,1,1,3,1,0,0
Giao hàng rất nhanh sách được bảo_quản chống sốc rất tốt nội_dung rất hay rất cảm_ơn,1,0,0,0,1,0,0,0
Sách giao sớm hơn dự_kiến dày_dặn đẹp Chị mình người hâm_mộ ruột của bác và đang cố thâu_tóm hết các tác_phẩm của bác nên quyển này là mua giùm chị vì_thế mong đừng hết hàng nhé sau khi cày xong chỗ sách mình đã mua của bác thì mình cũng sẽ mua cuốn này,0,0,1,0,1,0,0,0
nay gói sách rất cẩn_thận và giao hàng rất nhanh,0,0,0,0,1,0,0,0
Truyện dành cho lứa tuổi 17 Giao hàng không móp méo gì nhưng_mà sách bụi lắm ấy,3,0,2,0,1,0,0,0
Bìa đẹp giao nhanh mới tối đặt mà sáng hôm sau đã nhận Sách dày hơn quyển 1 nhiều nhưng còn một_số lỗi như bong xước chắc do sách để trong kho lâu,0,0,1,0,1,0,0,0
chất_lượng sách ok giao hàng nhanh,0,0,1,0,1,0,0,0
Giao hàng đúng ngày đóng_gói không kỹ Chất_lượng sản_phẩm chưa biết,0,0,3,0,2,0,0,0
Gói cẩn_thận sách không bị chỗ nào cuốn này đọc tuyệt_vời lắm Thế_giới lồng trong thế_giới mô_tả được hết vẻ đẹp của ngòi_bút và cách của đây là cuốn đầu_tiên mình đọc của ông nhưng_mà đã cực_kì thích rồi chắc_chắn sẽ mua thêm để đọc mình săn cuốn này giá 101 thì phải siêu hời,1,0,1,0,1,1,0,1
Mình thực_sự rất thích các tác_phẩm của kể từ lần đầu_đọc bản sách điện_tử của Xứ_sở diệu_kì tàn_bạo và chốn tận_cùng của thế_giới Mình háo_hức khi biết rằng đang có dịp giảm_giá sách với giá tốt nên đã lập_tức đặt mua ngay 1 quyển và do_đó mình đã có_thể chiêm_nghiệm cuốn sách này một_cách thực_tế hơn khi cầm nó trên tay chưa bao_giờ làm độc_giả phải thất_vọng với các tác_phẩm của mình ông lột_tả mọi thứ một_cách tuyệt_vời nhất nghệ thật nhất từ sâu thẳm nhất của tâm_hồn mà nếu càng bước_đi thì chúng_ta sẽ càng bị chìm_đắm và rồi lún dần không lối_thoát Sau_cùng mình muốn cảm_mơn vì dịch_vụ tốt giao hàng nhanh và sách rất chất_lượng,0,1,1,0,1,0,1,0
