review,stayingpower,texture,smell,price,others,colour,shipping,packing
giao hàng lâu kinh_khủng nhưng bù lại màu đẹp quá_trời mới_đầu_son vào nó bóng nhớt khó_chịu nhưng để một lúc thì mịn đã lắm có_điều màu dễ trôi nói_chung tuyệt_vời,2,1,0,0,0,1,2,0
Công_dụng_son la de danh chu lam gi Kết_cấu_son kem Độ bền màu được_son lì nhẹ dễ dùng mùi ổn tuy_nhiên nó tươi hơn mình tưởng kiểu trên anh cam đất vè cam cháy,1,3,1,0,0,2,0,0
Giá rẻ Chỉ cả giao hàng Hộp và vỏ_son đẹp_Son thì biết không được lì lắm Màu ổn nha,2,0,0,1,0,1,0,0
Màu_son rất đẹp mua đúng đợt giảm_giá nên rất rẻ đóng_gói hàng nhìn xịn quá,0,0,0,1,0,1,0,0
Kết_cấu mịn bám môi Độ bền màu khá tốt,1,1,0,0,0,0,0,0
Công_dụng Làm_đẹp để_son moi Kết_cấu rất chuẩn Độ bền màu li Chất_lượng sản_phẩm rất ổn hợp giá tiền,1,1,0,1,0,0,0,0
Kết_cấu tạm ổn Độ bền màu khá ít Màu 915 hơi xấu đỏ nhưng lại thiên về màu hồng hơn đánh lên bị già đóng_gói chắc_chắn xa nói_chung là khá ổn màu với màu mẫu,2,1,0,0,0,2,0,0
Công_dụng làm_đẹp Kết_cấu đẹp Độ bền màu chưa dùng chưa biết,3,1,0,0,0,0,0,0
Công_dụng đánh môi_son thêm xinh Kết_cấu đẹp Độ bền màu quá_ư là bền luôn,1,1,0,0,0,0,0,0
Công_dụng_son Kết_cấu tốt Độ bền màu tốt Đã nhận được sản_phẩm cửa_hàng giao hàng nhanh_chóng Cám_ơn cửa_hàng nhiều sẽ ủng_hộ tiếp,1,1,0,0,0,0,1,0
Công_dụng ok Kết_cấu ok Độ bền màu ok sản_phẩm của mình là người lớn_tuổi hơn mình thì mình cũng_nên có cái gì cũng_nên có cái gì cũng_nên có cái gì cũng_nên có cái gì cũng_nên có cái gì,1,1,0,0,0,0,0,0
Công_dụng đi đi hội Kết_cấu đẹp Độ bền màu bền màu phẩm hợp giá sau ghé và chỉ mang tính_chất minh_hoạ,1,1,0,1,0,0,0,0
_Son lên màu chuẩn chất mịn Dịch nên giao hàng hơi lâu nhưng đáng công đợi nha Săn giá giảm_giá siêu rẻ nữa chứ Ủng_hộ thêm cây nữa rồi đó cửa_hàng,0,1,0,1,0,1,2,0
Giáo hàng 13 ngày đợi mòn_mỏi mới thử 708 màu đẹp nhưng không lì lắm đâu ăn là trôi hết ấy nhưng uống không thấy đây ra cốc,2,0,0,0,0,1,1,0
Đóng_gói nhanh hàng chuẩn đẹp chưa dùng nên chưa biết chất_lượng thế_nào,0,0,0,0,0,0,0,0
Lần này giao hàng lâu quá mình ở hà_nội mà gần 1 tháng mình mới nhận được Mình mua nhiều lần rồi nên thấy sản_phẩm khá ổn giá hợp_lý,0,0,0,1,0,0,2,0
Công_dụng lên màu đẹp Kết_cấu kem Độ bền màu khá bền Chất_son lên màu đúng với tông màu nhưng không thơm mùi_son không thơm bền màu khô môi,1,2,2,0,0,1,0,0
Màu khá là đẹp chất_son lên môi không bị bột và khô Tuy_nhiên để đánh màu này đẹp mọi người nên nhé hợp với Tây để mặt mộc đánh lên nhìn như chết_trôi vậy đó,0,1,0,0,0,1,0,0
Ưu_điểm của anh ta là người hâm_mộ của anh ta là người hâm_mộ của_anh,0,0,0,0,3,0,0,0
Thích lắm bao_bì đẹp đóng_gói chắc_chắn chỉ_tội giao hơi lâu gần 1 tháng mới nhận được hàng nhưng vẫn cho 5 sao vì chất_lượng tốt,0,0,0,0,0,0,2,0
mua đồ của nhiều rồi lần nào cũng ưng hết chỉ xui đợt này có bị cấm biên nên giao hàng lâu gần tháng mớ có,0,0,0,0,0,0,2,0
không có ảnh ở đây nên mình dùng tạm nha_son màu chuẩn đỏ mình thấy đẹp và rất hợp tết nha không bị ngả hồng quá môi mình hồng nhưng chất_son hơi khô và bám môi nha nên ai nhiều rãnh môi thì chú_ý dưỡng kĩ á cửa_hàng gói cũng chu_đáo nha mỗi_tội giao hàng hơi lâu,0,2,0,0,0,1,2,0
Công_dụng tân_trang nhan_sắc Kết_cấu hơi lỏng Độ bền màu 6 10_Son bôi lên môi không lên màu chuẩn như trong hình khá khó trong việc tán điều màu bôi lên môi một thời_gian môi bị khô thấy mọi người bảo_son có mùi hăng nhưng mình thấy cũng bình_thường lúc mua đang giảm_giá còn rẻ bèo nên chất_lượng như này cũng tạm được nói_chung là tiền_nào_của_nấy mọi người suy_nghĩ trước khi mua nhé,1,2,3,1,0,2,0,0
cửa_hàng đóng_gói hàng ổn sản_phẩm khá tốt mỏng nhẹ thơm giá tốt Khá ưng,0,0,1,1,0,0,0,0
Mới mua chưa xài nên chưa có gì để đánh_giá dịch_bệnh toàn phải đeo khẩu_trang,0,0,0,0,3,0,0,0
_Son lì màu lắm á Ý là chưa có lên môi thử chỉ lên_tay thoi Mà chùi rửa nước vẫn còn luôn á Màu đẹp lắm Hình_ảnh mang tính_chất nhận xu hoi nha,1,0,0,0,0,1,0,0
Công_dụng OK Độ bền màu OK Màu_son 908 khá đẹp lên môi mềm mịn Giao hàng từ nước_ngoài nên lâu Bọc hàng đóng_gói rất cẩn_thận Mọi người nên thử Màu_sắc sản_phẩm 901 904 905 906 907 908 909 910 920 922 927 939 941 934 944,1,1,0,0,0,1,2,0
Công_dụng Son_Kết cấu mỏng Độ bền màu 8 10 Màu này sẽ đẹp với những bạn da trung_bình đến da trắng ạ màu xinh xỉu luôn nhiều người không biết nhưng chất_son của dòng này không thích lắm mùi hơi khó_chịu,1,2,2,0,0,1,0,0
Công_dụng_sOn Độ bền màu chua thu Màu đẹp hơi mùi chưa đánh thử nhưng chất_son mịn Đóng_gói cẩn_thận giao hàng hơi lâu,3,1,2,0,0,1,2,0
,0,0,0,0,3,0,0,0
Công_dụng_son màu không đẹp không giống hình lắm sệt sệt vón cục Kết_cấu đẹp Độ bền màu uống nước mà dính hết vào cốc,1,1,0,0,0,2,0,0
Tết nên giao hàng khá lâu_Son màu đẹp mà 2 dòng_son khác nhau nên chất khác nhau tầm giá này mua trải_nghiệm thì ok,0,3,0,1,0,1,2,0
Công_dụng không biết Kết_cấu không biết Độ bền màu không biết Nhận được hàng rồi giao hàng lâu đau_đớn Chất kem khá lỏng màu đẹp mà cái đầu_son nó hơn to so với cái cổ nên lúc mở ra tý toang,3,2,0,0,0,1,2,0
Màu_son xinh xỉu lên màu chuẩn đánh mướt môi dợi hơi lâu xíu,0,0,0,0,0,1,2,0
Chưa dùng nên không biết như_thế_nào nhưng đóng_gói bao_bì đẹp cho 5,0,0,0,0,0,0,0,0
Độ bền màu_Son dễ trôi Đóng_gói sản_phẩm Giao hàng 20 ngày mới nhận được cấm biên nên bỏ_qua chất_son Không mềm mịn và đánh lên môi có bột khô môi màu trên hình và ở ngoài khác nhau Hàng giảm_giá nên chấp_nhận,2,2,0,1,0,2,2,0
Công_dụng_Son lì Kết_cấu Som kem nhen Độ bền màu Màu đỏ tươi lên màu khá đẹp hợp với những bạn có làm da sáng,1,3,0,0,0,1,0,0
Kết_cấu_son đánh lên màu đẹp mịn không bị lem giá nên mua giao hàng lâu phải mất 2 3 tuần,0,1,0,1,0,1,2,0
Công_dụng oK Kết_cấu ok Độ bền màu ok Sản_phẩm ok Màu hơi thiên cam đất Hình_ảnh mang minh_hoạ để nhận xu,1,1,0,0,0,3,0,0
Mình mua tặng nên không mở_son ra xem nhưng đã mua nhiều lần_son này nên yên_tâm Chất_son rất ok màu cũng đẹp,0,1,0,0,0,1,0,0
Hình_ảnh và mang tính_chất nhận xu Chất_lượng sản_phẩm rất tốt Rất đáng tiền Không uổng công chờ_đợi,0,0,0,1,0,0,0,0
Đợt săn giảm_giá được giá quá hời_son nhưng không quá nhỏ đâu ạ Màu lên khá mịn và đẹp nhất_là màu 708 ưng sỉu luôn Màu 905 lên bật tông cam nhiều không được đẹp lắm Nhìn_chung_son khá ưng mịn màu đánh lên khá lỳ,1,1,0,1,0,3,0,0
Công_dụng ok Kết_cấu ok Độ bền màu ok,1,1,0,0,0,0,0,0
Đóng_gói hàng rất đẹp Nhìn thiết_kế_son cũng xinh nữa Nhưng khi lấy cây đánh ra rất khó Mùi cũng không thơm lắm Hàng quốc_tế nên lâu Nhưng dù_sao cũng đánh_giá 5 sao cho cửa_hàng,0,0,2,0,0,0,2,0
Công_dụng lên màu đẹp Kết_cấu mịn Độ bền màu màu chuẩn Giá_cả hợp_lý bao_bì đẹp đóng_gói kỹ_lưỡng,3,1,0,1,0,1,0,0
cửa_hàng tư_vấn ổn_áp Giao hàng hơi lâu xí Chất vỏ nhám cầm đã tay Lần đầu mua_son nên không béc nó ra sao nữa,0,0,0,0,0,0,2,0
cửa_hàng đóng_gói cẩn_thận_son mịn thơm vỏ_son cầm_chắc tay thích nhất phần nắp_son tuy_nhiên_son không được lì,2,1,1,0,0,0,0,0
Hàng đúng mẫu đúng màu đã chọn Rất ưng_ý với sản_phẩm Sẽ ủng_hộ cửa_hàng dài_dài Cám_ơn cửa_hàng nhiều,0,0,0,0,0,1,0,0
Công_dụng_son bền màu lâu trôi màu_son đẹp lỳ siêu yêu Kết_cấu đẹp Độ bền màu ổn ổn ổn ổn,1,1,0,0,0,1,0,0
Công_dụng_sOn mau Kết_cấu NHan_Độ bền màu ben mau nhung nhan hang thi giam gia Nhận được_son thì giảm_giá còn tiếc ghê mình mua son,1,3,0,2,0,1,0,0
Màu hơi sậm một_chút so với ảnh chất nhung mịn khá thích độ lì thì hơi thất_vọng chút Mùi thơm ngọt Tóm_lại là khá ổn và hài_lòng,2,1,2,0,0,2,0,0
Công_dụng sản_phẩm gio vận_chuyển lên hơi bị lâu nhưng cũng không biết mặt_hàng có ok không vì nhờ lấy hộ,0,0,0,0,0,0,2,0
Công_dụng Đánh len môi cho đỡ chết_trôi Kết_cấu lỏng Độ bền màu chưa dùng nên không biết_đâu,3,3,0,0,0,0,0,0
Đã nhận được hàng_son màu này dùng khá đẹp không quá tươi cũng không quá tối cây thứ 2 mình mua cây đầu mua nhầm màu nên tối quá xài được,0,0,0,0,0,1,0,0
Công_dụng_sOn môi Kết_cấu long rồi Độ bền màu ổn Bao_bì đóng_gói quá ổn nhìn sang chảnh ưa nha đáng đồng_tiền_bát_gạo quá đi,1,2,0,1,0,0,0,0
Công_dụng_son môi Kết_cấu mịn khá lì ok Độ bền màu khá ok màu đẹp quýnh lên mỏ chúm_chím long_lanh lấp_lánh lộng_lẫy kiêu_sa ngọt_ngào quýn rủ,1,1,0,0,0,1,0,0
Mua cho bạn gái bạn gái rất thích sẽ ủng_hộ cửa_hàng lâu_dài đã mua cửa_hàng rất nhiều lần rồi mọi người nhớ ủng_hộ cửa_hàng nha thả tim cho cửa_hàng nè anh hi_hi đồ ngốc,0,0,0,0,3,0,0,0
Công_dụng_son kem Kết_cấu hàng đóng_gói cẩn_thận chắc_chắn Độ bền màu màu vẫn nhanh trôi,2,3,0,0,0,0,0,0
Công_dụng Trang_điểm Kết_cấu Đẹp_Độ bền màu Với giá tiền siêu đãi này mà có_thể có cây_son chất_lượng đáng chú_ý như_vậy Đồ bền màu lâu màu lên rất đẹp dễ đánh lên môi,1,1,0,1,0,1,0,0
Mua lần nào cũng thích cái bao_bì nhìn rất sang_Son đánh Lên rất mượt màu lâu trôi,1,1,0,0,0,0,0,0
Công_dụng ổn Kết_cấu rất ổn Độ bền màu vô_cùng ổn Chất_lượng sản_phẩm tuyệt_vời đóng_gói đẹp phù_hợp với giá tiền nên mua,1,1,0,1,0,0,0,0
Công_dụng OK Kết_cấu Ok_Độ bền màu Ok_Nói chung cũng ok nha mọi người màu 909 kén môi có sắc_tố màu không chuẩn nên mọi người cân_nhắc nha,1,1,0,0,0,2,0,0
Chất_lượng ok đóng_gói cẩn_thận chưa thử màu nên không rõ màu và chất_lượng ra sao,0,0,0,0,0,3,0,0
_Son lên màu rất đẹp cửa_hàng giao đúng mẫu_mã mình mua chỉ 1 cây_son thôi nhưng cửa_hàng đóng_gói rất đẹp và chắc_chắn túi nhựa rất dày và không có mùi như những cửa_hàng khác Sẽ ủng_hộ cửa_hàng lần nữa,0,0,0,0,0,1,0,0
Công_dụng mAu Kết_cấu Độ bền màu Ok em đã tìm ra Vào mục công_cụ thoong ghi màn_hình rồi tắt cái mục âm_thanh từ là được,1,3,0,0,0,1,0,0
Công_dụng Kết_cấu Độ bền màu cao_Son đánh rất đẹp lên màu chuẩn không khô môi nhiều như các_son nội_địa khác,1,1,0,0,0,1,0,0
_Son đẹp Trông xịn nha mọi người Lên chuẩn màu nha Mọi người nên mua thử Nha,0,0,0,0,0,1,0,0
Giao trễ hơn dự_kiến trên Nói_chung ổn_áp Cầm_chắc tay Xinh_Màu lên chuẩn,0,0,0,0,0,1,2,0
_Son nhìn đẹp không biết trong như nào,0,0,0,0,3,0,0,0
Màu xinh nhưng giống màu đỏ hơn là a Mùi không dễ_chịu như loại a,0,0,2,0,0,1,0,0
Giao hàng hơi lâu nhưng bù lại nhận được hàng cũng ưng_ý đóng_gói cẩn_thận đẹp_mắt màu_son cũng khá là đẹp chất_lượng thì dùng sẽ đánh_giá thêm,0,0,0,0,0,1,2,0
Kết_cấu Chất_son hơi lỏng hơn mình nghĩ Độ bền màu Màu lên đẹp không bị rít môi Nên mua nha mọi người,3,2,0,0,0,1,0,0
Đóng_gói chắc_chắn giao hàng hơi lâu hên là trước tết,0,0,0,0,0,0,2,0
Tuy chưa sử_dụng nhưng nhìn hàng rất thích Tuy_nhiên thì giao hàng siêu lâu,0,0,0,0,0,0,2,0
Công_dụng 10 Kết_cấu Độ bền màu 5_Son lì màu dẹp lắm ạ lần sau hộ cửa_hàng dài_dài,1,3,0,0,0,1,0,0
,0,0,0,0,3,0,0,0
_Son lên màu đẹp độ bám màu tốt Đã mua nhiều lần nên không có gì để chê,1,0,0,0,0,1,0,0
Đóng_gói chắc_chắn_son cầm tay màu xinh nhắn_tin_son lỏng bám khá chắc,1,3,0,0,0,1,0,0
Kết_cấu Dùng đầu cọ để vẽ đường viền môi trên và dưới sau đó tô phần còn lại của môi bằng cách sử_dụng đầu,0,0,0,0,3,0,0,0
Kết_cấu ok Độ bền màu OK Đóng_gói rất đẹp có bọc chống sốc rất ok_son màu đẹp nhìn rất sang,1,1,0,0,0,1,0,0
Uống nước không bị trôi sạch như mấy loại_son đồng giá,1,0,0,0,0,0,0,0
Công_dụng Son_Kết cấu Độ bền màu Rất đáng mua Màu đẹp Lì thì thôi rồi luôn ăn_uống tẹt,1,1,0,0,0,1,0,0
Đóng_gói cẩn_thận giao hàng nhanh Mua được sản_phẩm giá giảm_giá rất thích Nên mua nha mọi người,0,0,0,1,0,0,1,0
Hình_ảnh mang tính_chất nhận xu chứ không có gì để bàn về sản_phẩm,0,0,0,0,3,0,0,0
Chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn,0,0,0,0,0,0,0,0
màu ổn nói_chung không quá xuất_sắc tạm được nhé mọi người ổn ổn ổn ổn,0,0,0,0,0,1,0,0
_son của nhà xài tốt nha trước mình mua 2 cây rồi giờ mua thêm 2 cây nữa_son lì nhưng rất dễ tán không bị nặng môi,1,1,0,0,0,0,0,0
Mua 3 cây rồi khá ok còn không biết sau_này như thế_này phần_mềm mã giảm còn cũng ok,0,0,0,1,0,0,0,0
_Son đẹp nhưng lâu hướng_dẫn di,0,0,0,0,0,0,2,0
Chất_lượng sản_phẩm tốt giao hàng nhanh đóng_gói kĩ lắm luôn,0,0,0,0,0,0,1,0
Màu_son lên chuẩn kết_cấu_son mịn tán đẹp như hình và màu_son cũng khá lì nha mọi người 944 942 đẹp nhức nách luôn Hình với viết mang tính_chất hốt xu thôi ạ,1,1,0,0,0,1,0,0
_Son không giống trên ảnh lắm màu_son khác hẳn trên ảnh luôn ai mua cân_nhắc,0,0,0,0,0,2,0,0
Giao hàng nhanh cầm_chắc chắn chưa đánh độ bên có lâu không,3,0,0,0,0,0,1,0
Giao hàng nhanh cầm_chắc chắn chưa đánh độ bên có lâu không,3,0,0,0,0,0,1,0
_Son màu như hình nhưng giao hàng hơi lâu mua 3 cây_son được tặng thêm 1 thỏi_son xịn xò,0,0,0,0,0,1,2,0
Màu lên khá đẹp_son cầm_chắc tay không bị nhẹ quá tuy_nhiên_son đánh sẽ hơi khô nên dưỡng môi kỹ nha còn độ bền màu thì mình thấy không bền đâu lau cái hết rồi hàng quốc_tế giao lâu lém,2,2,0,0,0,1,2,0
Hàng ok xứng_đáng với giá tiền Giao hàng không nhanh cho lắm ạ,0,0,0,1,0,0,2,0
Do đơn đang kẹt nên giao lâu kinh_khủng lần đầu mình sài_son nên thấy cũng tạm ổn được cái màu xinh,0,0,0,0,0,1,2,0
Giao hàng hơi lâu đóng_gói cẩn_thận mẫu_mã khá dễ_thương,0,0,0,0,0,0,2,0
_son xinh lắm mọi người ơi mùi hơi khó ngửi tí thui,0,0,2,0,0,0,0,0
Hình_ảnh mang tính_chất nhận xu Nói_chung_son không được lì cho lắm,2,0,0,0,0,0,0,0
Chất lương_sản_phẩm tuyệt_vời Giao hang rất là nhanh,0,0,0,0,0,0,1,0
_Son nhìn đẹp lắm tô lên môi đẹp nhưng màu tối hơn ảnh nhé,0,0,0,0,0,2,0,0
cửa_hàng đóng_gói rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời,0,0,0,0,0,0,0,0
,0,0,0,0,3,0,0,0
Công_dụng Giúp đôi môi toả sáng rạng ngời Kết_cấu mềm mịn mướt Độ bền màu I 3,1,1,0,0,0,0,0,0
_Son đánh lên có lớp ẩm sau khô lâu trôi khá lì Nhưng bị dính_son lắm ạ,1,2,0,0,0,0,0,0
Công_dụng_son môi Độ bền màu Bình_thường Chất_lượng sản_phẩm tuyệt_vời giao hàng hơi lâu chắc do tình_hình dịch màu đẹp nói_chung ưng lắm,3,0,0,0,0,1,2,0
Công_dụng Kết_cấu long Độ bền màu 5 10_Son lì màu không đẹp nhé mọi người oi thất_vọng,1,3,0,0,0,2,0,0
,0,0,0,0,3,0,0,0
Công_dụng_son Kết_cấu kem Độ bền màu khá đẹp Đóng_gói chắc_chắn Hàng nước_ngoài nên giao hàng hơi lâu,3,3,0,0,0,0,2,0
_Son quá đẹp màu chuẩn nhé lâu trôi nhất trong các loại_son mình từng dùng,1,0,0,0,0,1,0,0
Ok,0,0,0,0,3,0,0,0
Đóng_gói đẹp và chắn chắc Do dịch lên giao hàng khá lâu Chất_son hơi lỏng mùi hắc nhưng lên màu đẹp,0,2,2,0,0,1,2,0
nhỏ xinh mùi dễ_chịu giao hàng đảm_bảo cửa_hàng gói hàng kĩ,0,0,1,0,0,0,1,0
_Son ổn nhưng khá nhanh trôi nha nhưng nói_chung là màu cũng được vì rẻ mà,2,0,0,1,0,1,0,0
Giao nhanh Đóng_gói,0,0,0,0,0,0,1,0
Khá ok màu_sắc đẹp nhưng có_vẻ không lì lắm Mà hôm mình mua được giảm_giá nên khá hời,2,0,0,1,0,1,0,0
đóng_gói siêu cẩn_thận luôn_son lên màu chuẩn nhưng không có lì đâu lau qua lần sẽ trôi mất,2,0,0,0,0,1,0,0
_Son màu xinh_đẹp lì nhưng_mà chất_son hơi khô khó tán lộ vân môi Bạn nào môi dễ khô thì lưu_ý xài_son dưỡng trước nha Hình_ảnh mang tính_chất nhận xu,1,2,0,0,0,1,0,0
Công_dụng_son môi Kết_cấu dạng kem Độ bền màu mua hộ nên chưa chưa biết ra sao,3,3,0,0,0,0,0,0
_Son lỏng màu tương_tự như hình thôi,0,3,0,0,0,3,0,0
Đẹp chuẩn đỏ Sát tết nên giao hàng hơi lâu gì chưa bạn,0,0,0,0,0,1,2,0
Giao hàng nhanh Giao chuẩn màu_Son đánh mượt giữ màu lâu lắm nhé,1,1,0,0,0,1,1,0
Công_dụng chất_lượng sản_phẩm tuyệt_vời màu siêu lì giao hàng hơi lâu một xíu đóng_gói cẩn_thận,1,0,0,0,0,0,2,0
,0,0,0,0,3,0,0,0
Công_dụng_son Kết_cấu kem Độ bền màu ổn_son màu đẹp chất_son cũng ổn lên môi xinh mềm_môi có_điều bên vận_chuyển giao hàng lâu kinh_khủng đặt từ 19 12 đến nay mới nhận được hàng hình_ảnh nhận xu,1,1,0,0,0,1,2,0
Công_dụng Kết_cấu Độ bền màu,0,0,0,0,3,0,0,0
Công_dụng Xinh_Kết cấu Tốt_Độ bền màu Lâu,1,1,0,0,0,0,0,0
Công_dụng màu rất đẹp hợp mới da ngâm da trắng đánh lên cũng xinh lém Kết_cấu tốt Độ bền màu bền,1,1,0,0,0,1,0,0
