Review,Content-related,Author,Quality and Appearance,Manufacture and Distribution,Packaging and Delivery,Price and Preference,Customer Service,Overall Experience
"Lần đầu tiên mua bộ boxset mà m thấy thất vọng lun ấy. M dành số tiền tiết kiệm lớn để mua bộ này vì thích quá nhưng nhận hàng về lại hơi buồn. Mới về thì hộp gói bên ngoài bị rách hết, móp méo khủng khiếp. Mở ra thì box bị dập khá nhiều ở góc, gáy sách cũng bị trầy, box dính nhiều keo mà m phải lấy khăn lau mãi mới hết, box cũng lỗi khá nhiều nữa. Còn đồ họa và hình trang trí thì m không bàn đến vì quá ưng rồi. Nhưng có lẽ lối dịch không hợp với m lắm và có đôi chỗ sách ghi sai chính tả nữa nên m thấy không hài lòng cho lắm. Bù lại mỗi quyển có 1 bookmark riêng và nhìn chung thì truyện cũng hay lắm a. Chỉ mong NXB Trẻ và Tiki chú ý hơn trước khi mang sách đến tay người tiêu dùng",1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0
"Nội dung toàn diện. Nhiều ý tưởng hay để áp dụng và thực hành. Sách đẹp, đóng gói cẩn thận. Giao hàng nhanh.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Sách rất Ok, chất lượng sách được giao rất tốt, cảm ơn shop nha.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Giao hàng rất nhanh, bọc khá ổn, chỉ bị cấn chút xíu ở góc trên, nhận về đọc mà quên cả đánh giá ?",0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
"Sách hình như là giả, giấy khá mỏng, mã tem không cào được, hình giữa hai mép bìa sách không khớp!
Mua hàng nhiều với tiki rồi nhưng lần này thực sự thất vọng!",0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
bọc bìa đẹp. giá tốt. cảm ơn.,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Tiki giao hàng cực nhanh hôm trc đặt hôm sau đã có hàng rồi ạ
Về phần nội dung thì phần giới thiệu hơi dài 😅. Tuy nhiên vào nội dung ,mình đọc được vài trang thì thấy đọc cũng dễ hiểu, mình nghĩ mình sẽ mua thêm mấy cuốn còn lại của tác giả này 😊",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Mình thì ít coi về địa lý, nhưng khi đọc cuốn này rất cuốn và thấy cách suy nghĩ và cái tầm của lãnh đạo một đất nước....  Đâu phải chỉ hàng xóm giành đất với nhau mà cả Thế Giới giành từng tất đất ấy... Nội dung khá cuốn hình thức khá sang.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
là sách cũ nên mình hơi thất vọng,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
"Fahasa đóng hàng rất chắc chắn nhé. Sách mới đầy đủ quà. Nội dung: nối tiếp câu chuyện của cuốn "" cho tôi xin một vé đi tuổi thơ"", vẫn những nhân vật đó, giọng văn hài hước và những vấn đề khiến ta phải suy ngẫm. Rất đág đọc nhé",0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Chất lượng giấy quá quá tệ.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
sách rất hay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sách nguyên bản gốc tiếng Anh thì hay, tuy nhiên chất lượng dịch tiếng Việt phải nói là quá tệ. Dịch kiểu word by word, google translate, đọc câu văn nó rất ngô nghê nhưng chẳng có ý nghĩa gì, như kiểu nhai cơm có sạn. Không hiểu người dịch có hiểu ý của tác giả hay không nữa. Rút kinh nghiệm, không nên mua sách của Saigon books làm.",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phong cách viết phù hợp với ngày xưa nhưng so với bây giờ mình thấy bị chõi, nhất là các gia đình trẻ hiện đại có con cái làm quen với văn hoá tây phương thì đọc sách này ko hiểu gì vì từ ngữ rất ""kiếm hiệp"", khi mình đọc cho con mình phải tóm tắt nội dung và thay đổi từ ngữ cho dễ hiểu và con mình cũng khá sốc khi mở đầu truyện đã có nhân vật chết oan chỉ vì chú dế Mèn (bé 6t) Mặc dù tựa sách nghe rất hấp dẫn cho trẻ nhỏ, cá nhân mình thấy sách này người lớn đọc hợp hơn hoặc dành cho trẻ 9+ với vốn tiếng Việt phong phú.
Bên cạnh đó thì minh hoạ tuyệt vời, lý do mình mua sách vì minh hoạ là chính.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Sách chia theo kiểu một mặt chia làm hai cột chữ đọc nên thấy đọc mệt lắm. chất liệu giấy , kết cấu phân bổ thông tin trình bày theo cột chia làm hai này khó đọc thật sự. Những gói hàng kĩ lưỡng lắm.",2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Nội dung rất dễ đọc, dễ hiểu, và dễ áp dụng. Sách bổ ích nên có trong tủ sách sức khỏe, đặc biệt là phụ nữ - người cần quan tâm đến bản thân hơn và cũng là người có thể quyết định cho chồng con mình ăn gì :)). Chúng ta là những gì chúng ta ăn :)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Tiki giao hàng quá tuyệt! Dịch giã thế này vẫn đảm bảo giao trong 02h, đóng gói đâu ra đấy.
Nội dung sách không bàn, bởi có quá nhiều lời khen rồi. 
Về hình thức, Nhã Nam đã làm rất tốt, đẹp, tỉ mỉ, chất lượng giấy ổn. Chỉ mong với loại sách kiểu này nên làm kích thước lớn chút thì sẽ thích hơn, khổ 15,5 x 24 cm chẳng hạn.",1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
"Sách hay lắm nhé, súc tích, rõ ràng, shop giao hàng nhanh, sách nhỏ gọn tiện mang theo.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Đóng gói ngày càng cẩu thả,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Sách hay, chi tiết, hướng dẫn kiến thức bổ ích
Sách mới, đẹp, giấy in đẹp
Bao bìa cẩn thận",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
giao hàng lâu abcxyxtuvabc,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Chưa đọc nhưng thấy NNA là mua thôi. Đóng gói cẩn thận,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Đặt tiki now mà tận hôm sau mới nhận được hàng,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Đóng gói đẹp,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sách nhỏ hơn mình tưởng tượng, nhờ vậy dễ dàng mang đi",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Sách hay, mình doc cả 4 quyển enzyme rồi",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Giao hàng lâu, quá hẹn
Chất lượng sách thì oke nhma vận chuyển đóng gói thì tệ :))",0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
"Mình mới mua 2 quyển 2022/03/25-2022/03/26 đã nhận.
Mình đánh giá Shop giao hàng nhanh.
Nhưng chất lượng sách thì như sách cũ.",0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
"Đây là một trong những truyện xây dựng hình tượng nhân vật hay nhất theo mình nghĩ. Mỗi nhân vật đều có sự chuyển biến về nội tâm xuyên suốt bộ truyện 1 cách rõ rệt. Có rất nhiều bài học quý giá được lồng ghép vào đây. ""Ra bờ suối ngắm hoa kèn hồng"" không chỉ là tập truyện giải trí cho thiếu nhi, mà còn là những triết lý đáng suy ngẫm dành cho người lớn khi nghiêm túc đọc. Rất đáng để mua nha mọi người",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Đóng gói kém nhé tiki.sách đẹp,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
"Đóng gói không cẩn thận, bìa cũ và quăn mép :((((",0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
"Tiki giao hàng nhanh. 
Sách giấy ok.  Nhưng
Nội dung thì viết lan man. Viết linh ta linh tinh về não bộ và trí nhớ. Mình đọc gần nửa quyển sách rồi mà chả thấy được cái critical thinking nào. 
Khuyên bạn nên xem podcast trên youtube hơn thay vì mua quyển sách này. Phí tiền phí thời gian…",2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
"nhận hàng thì hộp lủng 1 lỗ to, may là sách bên trong k có vđ gì nên cho 4 sao",0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
"Giao hàng lâu, mặ dù đặt hàng lâu rồi",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Sách đẹp lắm, Fahasa đóng gói kỹ không trầy xước móp méo.
100/10 👍👍👍",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Tiki vẫn như mọi khi giao hàng rất nhanh chóng. Hôm nay đặt sớm hôm sau đã có sách. Từng lời trong quyển sách như dòng nước nhẹ nhàng len lỏi vào tâm hồn, xoa dịu và làm mát những nỗi buồn, những tổn thương ko gọi thành tên. Cảm giác như có người bạn đang đồng hành với mình vậy. Thực sự rất biết ơn ❤️",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"Sách tốt. Giao hàng chậm, shipper chưa gọi mình lần nào đã báo ko liên lạc được. Liên hệ tiki phản ánh khó khăn, ko liên lạc được. Mà đã lỡ thanh toán trước nên đành cố gắng liên hệ, mãi mới lấy được sách",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
"Sách hay, nội dung dễ hiểu và dễ chịu, như một dạng chữa lành cảm xúc. Thích hợp cho bạn nào thích đọc",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sách giao đúng iuuu cầu sạch sẽ ko bo góc,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Mua 2 ram giấy, ram nào cũng rách vỏ tùm lum, vậy mà cũng giao cho được?",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
góc sách bị móp và có keo thừa dính vào tùm lum nhưng độ mới vẫn ok,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sách giáo không bao gì cả chỉ có cái hộp nát với mấy miếng giấy xi măng lằm nhăn hết sách đã vật sách còn cũ dính bụi nữa chứ.,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
"Sách khá đẹp. Cơ mà nội dung thì mình chưa chấp nhận quan điểm này.
Anh giao hàng không chuẩn bị tiền lẻ, lấy thêm 3k của mềnh, đó là điều mình hông thích.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Sách rất hay, hơi đi sâu một chút về chuyên nghành nhé! Hi vọng mọi người đọc và có những trãi nghiệm riêng biệt hơn, cũng như bổ sung kiến thức cho mình",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lần đầu đánh giá thấp như vậy vì sách gửi về không bọc gì hết. Xong sách còn nhiều chỗ sai chính tả nữa :))))) mua lâu rồi giờ mới đánh giá vì nhìn lỗi chính tả thấy bứt rứt,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Mình mua tặng cháu. Nhận được quà của dì thích lắm. Thấy mẹ nó bảo tối nào cũng lôi ra học say mê :)), lại còn khen sách đẹp quá, nhiều hình vẽ quá. Bỏ tiền ra mua cũng đáng.",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Nên né mấy cuốn sách self help của tác giả Trung Quốc ra nếu bạn là người sống mơ mộng. Nó không khác gì quyển nhật ký sưu tầm những mẫu chuyện trong đời sống rồi viết ra kết luận. Cứ viết ra mấy câu chuyện tiêu cực rồi: chúng ta hãy thế này, thế nọ. Cuốn sách không mang tính thực hành. Nói thật đọc mấy bài blog hay hơn nhiều. Lúc mua không để ý tên tác giả cảm thấy hối hận thật sự. Buồn cười là tác giả cũng là một người tầm thường lại viết sách dạy đời người khác.",2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
dịch khác bản t.anh theo hướng thô tục. sách có trẻ con đọc thì dịch là thằng ngu thằng đần... mà bản gốc không hề viết vậy. đành đọc t.anh xong vứt luôn! mọi người mua sách gì cho con đọc nhớ phải kiểm tra nhé.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bìa sách cứng, chuẩn. Nhưng chất lượng giấy bên trong thì không được đẹp lắm. 
Chắc tại mình khó tính nên thích kiểu giấy đẹp.",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
giấy tốt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Tiki giao hàng nhanh, đóng gói cẩn thận.
Sách mới, bìa đẹp, nội dung gần gũi, đễ hiểu hợp với mọi lứa tuổi (nhưng mình nghĩ là trẻ trong tầm 9-14 tuổi đọc hợp hơn,vì bản thân mình thích những cuốn sách có nội dung phức tạp, đáng để nghiền ngẫm một chút)
Nhưng, thật lòng mà nói với một cái giá như vậy mình sẽ chọn những cuốn sách tiểu thuyết văn học kinh điển vừa dày lại bổ ích. Còn sách của Nguyễn Nhật Ánh tuy cũng hay nhưng lại mỏng quá( với mức giá như vậy) mà chỉ mang tính giải trí thôi. Mọi người cũng nên cân nhắc khi mua nhé!",1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
"Sách dành cho lứa tuổi từ 6-10 tuổi. Văn phong nhẹ nhàng, mộc mạc mà gần gũi. Những câu từ dễ thương, lôi cuốn kèm hình ảnh minh hoạ chân thực.(Mình 16t rồi mà vẫn thích đọc quyển này)
Nên mua cho bé nhà mình nghen mọi người :3",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bị tiki làm phiền, hiển thị bắt phải đánh giá mà ko cho ẩn đi",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"Nguyên seal hình thức đẹp, giao nhanh",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Cực kỳ hài lòng
Sản phẩm có chất lượng đúng như mô tả, đóng gói chắc chắn, rất đáng tiền, giao hàng nhanh. 
P/s: Không có thời gian chụp hình nên mình lấy đỡ hình trên mạng up",0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"Mua lâu rồi nhưng nay mới cho đánh giá. Về việc giao hàng và chất lượng sản phẩm thì đúng là miễn bàn. Tiki giao đúng hẹn, sách còn nguyên vẹn, không bị méo, bị bẩn hay nhàu. Chữ nghĩa in rõ ràng rành mạch, không có hiện tượng bị mờ, chất lượng giấy rất ổn. Còn về nội dung thì chắc chắn cũng như những quyển Cam khác, đều là phần bài tập để luyện thi. Có thể nói là rất tốt",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"sách nhìn hơi cũ, bị tưa mép dưới . tuy nhiên giao hàng rất nhanh và với giá giảm khi mua nên cũng tạm hài lòng. nội dung tuyệt vời rồi",1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
"Sách bị gãy góc, xin lưu ý bên vận chuyển",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"sách hay, đóng gói sp kĩ, giao hàng trước thời hạn",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"đóng gói kỹ, giao hàng nhanh, dịch vụ tốt, sản phẩm chất lượng.",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Đóng gói kĩ giao hàng tốt,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sách dễ thương,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Sách dễ thương cho cả mẹ và bé ạ, Tiki giao đúng hẹn, gói quà xinh mà dc free kèm thiệp chúc mừng. 1000d nha 🧡",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"rất là hay nhá, sách ngắn gọn, dễ đọc, dễ ngấm",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Về nội dung thì mình ko bàn tới vì ai cũng biết rồi nhưng về phần vận chuyển của tiki thì bị trễ 1 ngày so với dự kiến :(( trong khi dự kiến là 1 tuần sau mới giao:((( ngồi chờ mòn mỏi mãi mới có,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Sách đóng gói kĩ, giao hàng nhanh nhưng mở ra thì 2 3 trang đầu bị dính lại nên mình hơi thất vọng còn về những cái khác mình thấy đều tốt.",0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
"sách giao nhanh, đẹp không bị móp méo, bìa mềm, chữ rõ ràng, to, do không có bìa kiếng nên bị xước nhẹ.",0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
nói chung cũng tạm được. buồn vì tiki lần này mua cuốn trại hoa vàng và đi qua hoa cúc nhưng ko đc bọc ở ngài nên sách hơi trầy. với lại thường mình đặt dù 2 sản phẩm cũng chỉ 22ngàn mà khi đặt 2 quyển này lại 44ngàn. thất vọng về tiki quá?,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
"sách đẹp, mua dùm bạn nên không có đọc.",3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"sách in đẹp, nội dung hay nhưng bé tẹo teo",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Nội dung hay, thích hợp với người lớn và trẻ nhỏ. Có điều Tiki nên đánh giá lại phương thức đóng gói và vận chuyển. Giữa Tiki và đơn vị cung cấp khác thực sự rất khác biệt. 4,5 sao cho sách, mà 2 sao cho việc đóng gói và vận chuyển.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Combo 39k  mọi người ơiiiii,mua hôm sale bất ngờ sáng 6/11, quá ưng.Thật ra ban đầu đọc rv người mua thấy combo này lỗi ngoại quan nhiều,mà sale sâu còn có 39k nên mình mua về đọc thôi chứ cũng k kì vọng nhiều,vốn dĩ cũng k phải thể loại ưa thích của mình nên cũng k đề nặng mới cũ nhưng như các bạn thấy,vượt ngoài mong đợi,có móp chút cuốn tập 7nhưng k sao. Sách mới,giá rẻ,nội dung thì tuyệt vời ạ. Tks Tiki vì đã đem đến cơ hội tiếp cận sách thật mà giá rẻ cho mọi người.",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
"Chất lượng sách ko tốt, bung gáy",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Sản phẩm đóng gói kỹ, giao hàng nhanh, nhân viên giao hàng nhiệt tình.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sách bọc nhựa ép ẩu, bung",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Vừa nhận hàng mà thất vọng thật sự, sách k được bọc gì cả, đã vậy bên trong còn rách :)
Mình đã nhắn tin cho bên nhà sách, mong nhanh chóng nhận được phản hồi. Mình thấy nhiều bạn phàn nàn về vấn đề đóng gói hàng rồi nhưng có vẻ vẫn không cải thiện.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Giao nhanh thật sự. Mình đang cần gấp để học nên đặt hôm thứ 5, tới hôm nay thứ 7 đã nhận được hàng. Sách có mùi thơm, gói hàng rất kĩ.",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Nội dung đc review khá nhiều rồi nên mình kg nói nữa, mình đặt sách của fahasa canh sale 11/11 nên giá khá hời, chất lượng sách không phải bàn rồi mọi người, sách đc bọc cẩn thận, giao hàng đúng dự kiến, siêu siêu ưng luôn nha mọi người. Nên đặt",3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"2 cuốn "" Tử tế đáng giá bao nhiêu"" Và "" Nỗi buồn chiến tranh"" gấc nà ổn nhưng đóng hàng không cẩn thận, không có book care, hộp giao móp hết làm cho sách bị xóc, cuốn ""Yêu những điều không hoàn hảo"" mình mong chờ nhất thì bị như này..",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Giao hành siêu nhanh,  sách có mành bọc ngoài nên k có hư hao gì sờ mê dã man. 
Như tên thì cuốn sách phù hợp cho các bạn mới nhập môn chưa biết gì về chiêm tinh, mua để tra cứu lúc mới học cũng khá ổn :v
Hy vọng thời gian tới ở vn sẽ có thêm nhiều đầu sách nghiên cứu chuyên sâu về chiêm tinh.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Giao nhanh, có bọc sách, nội dung hấp dẫn. Đọc xong quyển Tam thể tập 1 mình phải đặt luôn quyển 2 quyển tiếp theo.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Nội dung sách hay, đọc rất cuốn và buồn, để lại cho m nhiều cảm xúc đan xen lẫn lộn.
Hình thức sách thì có nhiều lỗi, như này mình cũng k biết do bên phát hành hay do người vận chuyển nữa, sách được bọc 1 lớp túi màng bọc nilon và 1 tấm giảm sóc bìa carton",1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
yêu cầu đổi lại do bị ướt và nhàu,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
giao hàng bị móp rồi mong shop đổi lại,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ok sách hay đống gói sạch sẽ giao nhanh,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sách siêu dày, siêu đẹp. Nội dung chi tiết và cụ thể, kèm với app học siêu hiệu quả",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Giao hàng nhanh chóng, hộp mới, gói cẩn thận. 
Điểm trừ là chất giấy của bộ sách  đợt này là loại giấy tái chế, nhẹ, xốp, nhám và dễ hút nước nên sẽ nhanh ố vàng, không bảo quản lâu được",0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
"Tiki ơi là Tiki, từ 1 sàn TMĐT bán sách dẫn đầu đến ngày càng tệ và cẩu thả về mặt hàng sách, bọc bookcare cũng bọc không chắc, nhận hàng vài hôm giờ lấy ra đọc thì bung ngay bookcare!",0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
